,customer_id,call_failure,complaints,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,churn
0,0,8,0,38,0,4370,71,5,17,3,Pay as you go,active,30,197.64,False
1,1,0,0,39,0,318,5,7,4,2,Pay as you go,non-active,25,46.035,False
2,2,10,0,37,0,2453,60,359,24,3,Pay as you go,active,30,1536.52,False
3,3,10,0,38,0,4198,66,1,35,1,Pay as you go,active,15,240.02,False
4,4,3,0,38,0,2393,58,2,33,1,Pay as you go,active,15,145.805,False
5,5,11,0,38,1,3775,82,32,28,3,Pay as you go,active,30,282.28,False
6,6,4,0,38,0,2360,39,285,18,3,Pay as you go,active,30,1235.96,False
7,7,13,0,37,2,9115,121,144,43,3,Pay as you go,active,30,945.44,False
8,8,7,0,38,0,13773,169,0,44,3,Pay as you go,active,30,557.68,False
9,9,7,0,38,1,4515,83,2,25,3,Pay as you go,active,30,191.92,False
10,10,6,0,38,0,5918,95,7,12,3,Pay as you go,active,30,268.52,False
11,11,9,0,38,0,2238,54,8,17,3,Pay as you go,non-active,30,123.68,False
12,12,25,0,38,3,15140,225,54,32,3,Pay as you go,active,30,830.6,False
13,13,4,0,38,1,3095,27,483,8,3,Pay as you go,active,30,2056.88,False
14,14,9,0,37,0,15485,182,150,30,2,Pay as you go,active,25,1380.015,False
15,15,3,0,37,1,6500,86,186,26,3,Pay as you go,active,30,1007.44,False
16,16,0,0,37,0,875,14,0,11,2,Pay as you go,non-active,25,40.005,True
17,17,2,0,38,0,710,14,13,8,3,Pay as you go,non-active,30,80.96,False
18,18,0,0,37,0,0,0,0,0,2,Pay as you go,non-active,25,0.0,True
19,19,3,0,37,0,7508,127,384,43,2,Pay as you go,active,25,2071.575,False
20,20,7,0,37,1,11465,154,11,47,4,Pay as you go,active,45,317.975,False
21,21,8,0,37,1,6718,75,108,37,2,Pay as you go,active,25,791.685,False
22,22,23,1,33,0,955,47,16,17,2,Pay as you go,non-active,25,117.09,True
23,23,21,1,36,8,10435,93,1,42,5,contractual,active,55,159.42,False
24,24,13,1,36,1,5818,98,26,24,2,Pay as you go,active,25,383.22,True
25,25,1,0,34,0,2840,22,0,14,3,Pay as you go,active,30,114.48,False
26,26,9,0,35,0,2990,41,9,16,3,Pay as you go,non-active,30,157.24,True
27,27,9,1,36,0,2268,44,34,31,3,Pay as you go,non-active,30,228.48,True
28,28,0,0,36,0,133,2,0,2,3,Pay as you go,non-active,30,5.4,True
29,29,1,0,36,0,1668,25,0,6,3,Pay as you go,active,30,67.72,False
30,30,3,0,33,1,6785,97,14,22,5,Pay as you go,active,55,124.23,False
31,31,0,1,36,0,628,7,9,4,4,Pay as you go,non-active,45,38.375,True
32,32,0,0,36,1,338,4,4,2,5,Pay as you go,active,55,11.13,False
